s_no,state,leagueType,year,month,day,halfYear,week,hm,gameDate,gameDateResume,weather,temperature,humidity,windDirection,windSpeed,rainprobability,s_code,awayTeam,awaySP,homeTeam,homeSP,awaySPName,homeSPName,awayScore,homeScore
20260677,3,10400,2026,3,12,F,4,13:00:00,1773288000,0,10100,11.2,36,20300,1.7,,2006,10001,11222,6002,14575,하영민,플렉센,7.0,9.0
20260678,3,10400,2026,3,12,F,4,13:00:00,1773288000,0,10100,10.9,45,21500,2.7,,4003,1001,13157,7002,16424,양창섭,왕옌청,12.0,3.0
20260679,3,10400,2026,3,12,F,4,13:00:00,1773288000,0,10100,10.8,45,21100,3.0,,6001,9002,16446,2002,16261,베니지아노,올러,4.0,9.0
20260680,3,10400,2026,3,12,F,4,13:00:00,1773288000,0,10400,10.4,45,21100,1.3,,8001,12001,11323,3001,14792,주권,김진욱,3.0,4.0
20260681,3,10400,2026,3,12,F,4,13:00:00,1773288000,0,10500,13.0,41,20300,2.8,,8005,5002,16286,11001,16450,치리노스,테일러,11.0,6.0
