s_no,state,leagueType,year,month,day,halfYear,week,hm,gameDate,gameDateResume,weather,temperature,humidity,windDirection,windSpeed,rainprobability,s_code,awayTeam,awaySP,homeTeam,homeSP,awaySPName,homeSPName,awayScore,homeScore
20230001,3,10100,2023,4,1,F,6,14:00:00,1680325200,0,10400,24.2,14,20100,1.4,,1001,3001,14627,6002,13941,스트레일리,알칸타라,10.0,12.0
20230002,3,10100,2023,4,1,F,6,14:00:00,1680325200,0,10100,23.7,20,20300,2.4,,1003,7002,15540,10001,13091,스미스,안우진,2.0,3.0
20230003,3,10100,2023,4,1,F,6,14:00:00,1680325200,0,10100,23.9,23,21500,1.9,,2001,2002,15533,9002,10126,앤더슨,김광현,1.0,4.0
20230004,3,10100,2023,4,1,F,6,14:00:00,1680325200,0,10100,24.0,20,20900,2.3,,2002,5002,13934,12001,15143,켈리,벤자민,6.0,11.0
20230005,3,10100,2023,4,1,F,6,14:00:00,1680325200,0,10100,22.9,23,20500,4.3,,7003,11001,15535,1001,14617,페디,뷰캐넌,8.0,0.0
