s_no,gameDate,p_no,t_code,vs_tCode,awayTeam,awayScore,homeScore,GS,G,PA,ePA,AB,R,H,1B,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,situation,battingOrder,position,year_req,s_no_key,IP,rRA,ER,TBF,W,L,CG,SHO,S,HD,BS,BH,WHIP,ERA
20230003.0,04-01,10008,2002,9002,2002,1,4,1,1,3,3,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,11,20230003,3,4.0,2023,20230003,,,,,,,,,,,,,,
20230033.0,04-08,10008,2002,6002,6002,6,7,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,3,20230033,8,11.0,2023,20230033,,,,,,,,,,,,,,
20230038.0,04-09,10008,2002,6002,6002,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,20230038,9,11.0,2023,20230038,,,,,,,,,,,,,,
20230043.0,04-11,10008,2002,7002,7002,5,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4,20230043,6,11.0,2023,20230043,,,,,,,,,,,,,,
20230053.0,04-13,10008,2002,7002,7002,5,1,1,1,4,4,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,15,20230053,6,4.0,2023,20230053,,,,,,,,,,,,,,
