p_no,leagueType,t_code,p_name,year,p_nameEN,G,WAROff,WARDef,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,WAR,p_position,wRC+,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,TBF,ROE,BK,WP,ERA,FIP,WHIP,QS
10008,10100.0,2002,김선빈,2023,Sun-Bin Kim,119,2.91943,-0.2143402099609375,473,465,419,41,134,16,0,0,150,48,3,1,38,5,0,26,10,8,3,0.32,0.381,0.358,0.739,2.7050893306732178,4.0,114.8560028076172,,,,,,,,,,,,,,,,,,,
10008,10100.0,2002,김선빈,2024,Sun-Bin Kim,116,3.05587,-0.5976898670196533,466,458,423,48,139,23,0,9,189,57,5,1,30,5,0,39,13,7,0,0.329,0.38,0.447,0.827,2.4581801891326904,4.0,117.37200164794922,,,,,,,,,,,,,,,,,,,
10008,10100.0,2002,김선빈,2025,Sun-Bin Kim,84,2.73907,-0.6304917335510254,308,306,271,31,87,18,1,3,116,46,4,0,31,3,0,35,9,2,1,0.321,0.395,0.428,0.823,2.1085736751556396,4.0,136.60595703125,,,,,,,,,,,,,,,,,,,
10014,10100.0,3001,안치홍,2023,Chi-Hong An,121,2.8413,-0.4633898735046386,494,487,425,57,124,20,1,8,170,63,3,3,49,10,3,53,14,5,5,0.292,0.374,0.4,0.774,2.37791109085083,4.0,117.4980010986328,,,,,,,,,,,,,,,,,,,
10014,10100.0,7002,안치홍,2024,Chi-Hong An,128,1.6922,-0.3143500089645386,533,531,473,64,142,21,0,13,202,66,3,2,49,6,1,70,10,1,4,0.3,0.37,0.427,0.797,1.3778539896011353,3.0,107.88899993896484,,,,,,,,,,,,,,,,,,,
