s_no,year,park_factor,homeTeam,homeScore,home_SP_FIP,home_RP_ERA,home_RP_FIP,home_RP_K_BB,home_batting_power,awayTeam,awayScore,away_SP_FIP,away_RP_ERA,away_RP_FIP,away_RP_K_BB,away_batting_power,sp_fip_diff,rp_era_diff,rp_fip_diff,batting_diff,total_diff
20230001,2023,1.12,6002,12.0,5.2,4.8,4.8,1.5,92.0,3001,10.0,5.2,4.8,4.8,1.5,92.0,0.0,0.0,0.0,0.0,0.0
20230002,2023,0.95,10001,3.0,5.2,4.8,4.8,1.5,92.0,7002,2.0,5.2,4.8,4.8,1.5,92.0,0.0,0.0,0.0,0.0,0.0
20230003,2023,1.0,9002,4.0,5.2,4.8,4.8,1.5,92.0,2002,1.0,5.2,4.8,4.8,1.5,92.0,0.0,0.0,0.0,0.0,0.0
20230004,2023,1.05,12001,11.0,5.2,4.8,4.8,1.5,92.0,5002,6.0,5.2,4.8,4.8,1.5,92.0,0.0,0.0,0.0,0.0,0.0
20230005,2023,1.0,1001,0.0,5.2,4.8,4.8,1.5,92.0,11001,8.0,5.2,4.8,4.8,1.5,92.0,0.0,0.0,0.0,0.0,0.0
