s_no,year,park_factor,h2h_win_rate,homeTeam,homeScore,home_win_rate,home_runs_avg,home_rest_days,home_SP_FIP,home_SP_recent_ERA,home_avg_wRC+,awayTeam,awayScore,away_win_rate,away_runs_avg,away_rest_days,away_SP_FIP,away_SP_recent_ERA,away_avg_wRC+,sp_fip_diff
20230671,2023,0.95,0.5,10001,1.0,0.5,4.5,5.0,5.37719,4.5,83.7022459242079,12001,2.0,0.5,4.5,5.0,4.36357,4.5,130.72804954316882,1.0136199999999995
20230672,2023,1.02,0.3,7002,6.0,0.5,4.5,5.0,4.06244,4.5,83.7022459242079,2002,1.0,0.5,4.5,5.0,3.92733,4.5,130.72804954316882,0.1351099999999996
20230673,2023,1.0,0.4,1001,3.0,0.5,4.5,5.0,3.04556,4.5,83.7022459242079,9002,1.0,0.5,4.5,5.0,6.35053,4.5,130.72804954316882,-3.30497
20230674,2023,1.04,0.5,3001,3.0,0.5,4.5,5.0,3.4031,4.5,83.7022459242079,6002,5.0,0.5,4.5,5.0,4.02856,4.5,130.72804954316882,-0.6254599999999999
20230675,2023,1.0,0.7,11001,2.0,0.5,4.5,5.0,2.2162,4.5,83.7022459242079,5002,4.0,0.5,4.5,5.0,5.14081,4.5,130.72804954316882,-2.92461
